Town,Number
Barrington,18
Bristol,14
Burrillville,24
Central Falls,35
Charlestown,5
Coventry,48
Cranston,136
Cumberland,52
East Greenwich,8
East Providence,58
Exeter,8
Foster,7
Glocester,<5
Hopkinton,<5
Jamestown,6
Johnston,40
Lincoln,20
Little Compton,6
Middletown,12
Narragansett,10
New Shoreham,<5
Newport,18
North Kingstown,47
North Providence,127
North Smithfield,7
Pawtucket,186
Portsmouth,14
Providence,504
Richmond,<5
Scituate,8
Smithfield,31
South Kingstown,24
Tiverton,18
Warren,7
Warwick,75
West Greenwich,<5
West Warwick,37
Westerly,19
Woonsocket,42
